scenario,run #,output dollar year,target station capacity (kg/day),target number of stations,one-way delivery distance (mile),electricity cost ($/kWh),diesel cost ($/gallon),electricity emission factor (kg CO2/kWh),diesel emission factor (kg CO2/gallon),hydrogen prod. emission factor (kg CO2-eq/kg),formic acid prod. emission factor (kg CO2-eq/kg),hydrogen purchase cost ($/kg),formic acid purchase cost ($/kg),formic acid production pathway,hydr. reaction temperature (K),hydr. reaction pressure (bar),hydr. reaction yield,hydr. reactor volume (m^3),number of hydr. reactors,hydr. catalyst amount (kg),hydr. catalyst cost ($/kg),hydr. catalyst lifetime (yr),hydr. reactor energy (unit TBD),hydr. separator energy (unit TBD),CO2 electrolyzer purchase cost ($/m^2),terminal formic acid storage amount (days),terminal compressed hydrogen storage amount (days),terminal liquid hydrogen storage amount (days),dehydr. reaction temperature (K),dehydr. reaction pressure (bar),dehydr. reaction yield,dehydr. reactor volume (m^3),number of dehydr. reactors,dehydr. catalyst amount (kg),dehydr. catalyst cost ($/kg),dehydr. catalyst lifetime (yr),dehydr. reactor energy (unit TBD),dehydr. gas/liquid separator energy (unit TBD),station formic acid storage amount (days),pathway,total levelized cost of hydrogen ($/kg H2)
Pd 4nm,17,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,373.6842105263158,100.0,0.9999,0.00041999711999712,1.0,0.05542315595251596,3500.0,3.0,0.0,0.0,1.0,LOHC - formic acid,30.496310222381478
Pd 4nm,17,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,373.6842105263158,100.0,0.9999,0.00041999711999712,1.0,0.05542315595251596,3500.0,3.0,0.0,0.0,1.0,compressed hydrogen,6.171953474515041
Pd 4nm,17,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,373.6842105263158,100.0,0.9999,0.00041999711999712,1.0,0.05542315595251596,3500.0,3.0,0.0,0.0,1.0,liquid hydrogen,7.273821263552226
Pd 4nm,18,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,384.2105263157895,100.0,0.9999,0.000233986733986733,1.0,0.03087707660627648,3500.0,3.0,0.0,0.0,1.0,LOHC - formic acid,30.504056434138572
Pd 4nm,18,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,384.2105263157895,100.0,0.9999,0.000233986733986733,1.0,0.03087707660627648,3500.0,3.0,0.0,0.0,1.0,compressed hydrogen,6.171953474515041
Pd 4nm,18,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,384.2105263157895,100.0,0.9999,0.000233986733986733,1.0,0.03087707660627648,3500.0,3.0,0.0,0.0,1.0,liquid hydrogen,7.273821263552226
Pt 4nm,19,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,18.9521829521829,1.0,2500.4621178112193,3000.0,3.0,0.0,0.0,1.0,LOHC - formic acid,43.54345591075243
Pt 4nm,19,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,18.9521829521829,1.0,2500.4621178112193,3000.0,3.0,0.0,0.0,1.0,compressed hydrogen,6.171953474515041
Pt 4nm,19,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,18.9521829521829,1.0,2500.4621178112193,3000.0,3.0,0.0,0.0,1.0,liquid hydrogen,7.273821263552226
Pt 4nm,20,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,310.5263157894737,1.0,0.9999,5.73804573804573,1.0,757.0508386528055,3000.0,3.0,0.0,0.0,1.0,LOHC - formic acid,35.606821940831324
